Word,Meaning (English),Meaning (Bahasa Indonesia),Part of Speech,Synonyms
Ramp up,"To increase in speed, effort, or level over a period of time. In a work context, it often means the time it takes for a new team member to become fully productive.","Meningkat dalam kecepatan, usaha, atau level selama periode waktu tertentu. Dalam konteks kerja, ini sering berarti waktu yang dibutuhkan anggota tim baru untuk menjadi produktif sepenuhnya.",phrase,"get up to speed, onboard"
Backlog,"A prioritized list of tasks, features, or bug fixes that need to be done but are not currently being worked on. It's a to-do list for the team.","Daftar tugas, fitur, atau perbaikan bug yang diprioritaskan yang perlu dilakukan tetapi saat ini tidak sedang dikerjakan. Ini adalah daftar tugas untuk tim.",noun,"to-do list, task list"
Offload,"To delegate or give a task or responsibility to someone else, often to reduce your own workload.","Mendelegasikan atau memberikan tugas atau tanggung jawab kepada orang lain, seringkali untuk mengurangi beban kerja Anda sendiri.",verb,"delegate, hand off"
Handover,The process of transferring responsibility and knowledge for a project or task from one person to another.,Proses pengalihan tanggung jawab dan pengetahuan untuk suatu proyek atau tugas dari satu orang ke orang lain.,noun,"knowledge transfer, transition"
Greenfield,"Describes a new project that is starting from scratch, with no legacy code or existing systems to consider. It's a 'clean slate'.","Menjelaskan proyek baru yang dimulai dari awal, tanpa kode lama atau sistem yang ada untuk dipertimbangkan. Ini adalah 'lembaran bersih'.",adjective,"from scratch, brand new"
Brownfield,"Describes a project that adds to or modifies an existing system. The project must deal with legacy code, existing infrastructure, and previous design decisions.","Menjelaskan proyek yang menambah atau memodifikasi sistem yang sudah ada. Proyek tersebut harus berurusan dengan kode lama, infrastruktur yang ada, dan keputusan desain sebelumnya.",adjective,"legacy project, integration project"
Ad-hoc,"Done for a particular purpose as necessary, without planning or organization. Something that is improvised or 'on the spot'.","Dilakukan untuk tujuan tertentu seperlunya, tanpa perencanaan atau organisasi. Sesuatu yang diimprovisasi atau 'di tempat'.",adjective,"improvised, unplanned"
Nitty-gritty,"The most important, practical details of a subject or situation. The essential, and often messy, core of a problem.","Detail yang paling penting dan praktis dari suatu subjek atau situasi. Inti yang esensial, dan seringkali berantakan, dari suatu masalah.",noun,"core details, essentials"
Outage,"A period of time when a service, like a website or an application, is not available or not working correctly.","Periode waktu ketika sebuah layanan, seperti situs web atau aplikasi, tidak tersedia atau tidak berfungsi dengan benar.",noun,"downtime, service interruption"
Post-mortem,"A meeting or document that analyzes a project or event after it has concluded, especially to understand what went wrong and how to prevent it in the future. The name comes from the medical term for an examination after death.","Sebuah rapat atau dokumen yang menganalisis sebuah proyek atau peristiwa setelah selesai, terutama untuk memahami apa yang salah dan bagaimana cara mencegahnya di masa depan. Nama ini berasal dari istilah medis untuk pemeriksaan setelah kematian.",noun,"retrospective, debrief"
sprint,"A short, time-boxed period during which a software development team works to complete a set amount of work.",Periode singkat dengan batas waktu di mana tim pengembang perangkat lunak bekerja untuk menyelesaikan sejumlah pekerjaan yang telah ditentukan.,noun,"iteration,cycle"
deploy,"To release a new version of a software application or feature to a live environment, making it available to users.","Merilis versi baru dari aplikasi perangkat lunak atau fitur ke lingkungan live, sehingga tersedia bagi pengguna.",verb,"release,launch"
mockup,"A static, high-fidelity visual design draft of a product or feature. It shows how the final product will look but is not interactive.",Draf desain visual statis dengan ketelitian tinggi dari suatu produk atau fitur. Ini menunjukkan bagaimana produk akhir akan terlihat tetapi tidak interaktif.,noun,"wireframe,prototype"
user story,"A simple, informal description of a software feature from the perspective of an end user or customer.",Deskripsi sederhana dan informal dari sebuah fitur perangkat lunak dari sudut pandang pengguna akhir atau pelanggan.,phrase,"requirement,feature request"
epic,A large body of work or a major feature that is too big to be completed in a single sprint. It is broken down into smaller user stories.,Sekumpulan pekerjaan besar atau fitur utama yang terlalu besar untuk diselesaikan dalam satu sprint. Ini dipecah menjadi user story yang lebih kecil.,noun,"initiative,large feature"
velocity,"In Agile, a measure of the amount of work a team can complete during a single sprint, often measured in story points or hours.","Dalam Agile, ukuran jumlah pekerjaan yang dapat diselesaikan tim selama satu sprint, sering diukur dalam story point atau jam.",noun,"capacity,throughput"
staging,"An environment that is a near-exact replica of the production environment, used for final testing before a new feature or version is deployed to live users.","Lingkungan yang merupakan replika yang hampir persis sama dengan lingkungan produksi, digunakan untuk pengujian akhir sebelum fitur atau versi baru diterapkan untuk pengguna live.",noun,"pre-production,UAT (User Acceptance Testing) environment"
production,The live environment where a software application or website is accessed by its end users.,Lingkungan live di mana aplikasi perangkat lunak atau situs web diakses oleh pengguna akhirnya.,noun,"live environment,live server"
dependency,"A piece of software, library, or module that another piece of software requires to function correctly.","Bagian dari perangkat lunak, pustaka, atau modul yang dibutuhkan oleh perangkat lunak lain agar dapat berfungsi dengan benar.",noun,"prerequisite,requirement"
query,A precise request to a database or search engine to retrieve specific information.,Permintaan yang tepat ke database atau mesin pencari untuk mengambil informasi spesifik.,noun,"request,inquiry"
Changelog,"A log or record of all notable changes made to a project, such as a software application or website.","Catatan atau rekam jejak dari semua perubahan penting yang dibuat pada sebuah proyek, seperti aplikasi perangkat lunak atau situs web.",noun,"release notes,update history"
Regression,"The reappearance of a bug that had been previously fixed. A feature that stops working after a certain event, like a new code change.","Munculnya kembali bug yang sebelumnya telah diperbaiki. Sebuah fitur yang berhenti berfungsi setelah kejadian tertentu, seperti perubahan kode baru.",noun,"setback,reversion"
Toil,"Repetitive, manual, and automatable work that is tactical in nature and devoid of long-term value.","Pekerjaan yang berulang, manual, dan dapat diotomatisasi yang bersifat taktis dan tidak memiliki nilai jangka panjang.",noun,"drudgery,manual labor"
Throughput,"The amount of work, data, or items that can be processed or completed in a given period of time.","Jumlah pekerjaan, data, atau item yang dapat diproses atau diselesaikan dalam periode waktu tertentu.",noun,"output,capacity"
Latency,The delay between a user's action and the time it takes for a system to respond. The time it takes for a data packet to travel from one point to another.,Penundaan antara tindakan pengguna dan waktu yang dibutuhkan sistem untuk merespons. Waktu yang dibutuhkan paket data untuk melakukan perjalanan dari satu titik ke titik lain.,noun,"delay,lag"
Grooming,"Also known as backlog refinement, it's a recurring meeting in Agile where the team discusses, estimates, and prioritizes items in the product backlog.","Juga dikenal sebagai penyempurnaan backlog, ini adalah pertemuan berulang dalam Agile di mana tim membahas, memperkirakan, dan memprioritaskan item dalam backlog produk.",noun,"backlog refinement,backlog management"
Roadmap,"A high-level, strategic document that outlines the vision, priorities, and direction of a product or project over time.","Dokumen strategis tingkat tinggi yang menguraikan visi, prioritas, dan arah suatu produk atau proyek dari waktu ke waktu.",noun,"strategic plan,vision document"
On-call,The practice of designating a person to be available to respond to urgent system issues or emergencies outside of normal working hours.,Praktik menunjuk seseorang untuk bersiap sedia menanggapi masalah sistem yang mendesak atau keadaan darurat di luar jam kerja normal.,phrase,"on duty,on standby"
Scalability,"The ability of a system, network, or process to handle a growing amount of work, or its potential to be enlarged to accommodate that growth.","Kemampuan suatu sistem, jaringan, atau proses untuk menangani jumlah pekerjaan yang terus bertambah, atau potensinya untuk diperbesar untuk mengakomodasi pertumbuhan tersebut.",noun,"expandability,capacity for growth"
Technical debt,"The implied cost of rework caused by choosing an easy, limited solution now instead of using a better approach that would take longer.","Biaya pengerjaan ulang yang tersirat yang disebabkan oleh pemilihan solusi yang mudah dan terbatas sekarang, alih-alih menggunakan pendekatan yang lebih baik yang akan memakan waktu lebih lama.",phrase,"design debt,code debt"
